X   Y   Z   quatX   quatY   quatZ   W
-0.0185554 0.44381 0.725153 0.0731952 0.534196 -0.506714 0.672695 
-0.0187555 0.444155 0.724007 0.0731973 0.534196 -0.506715 0.672694 
-0.0189556 0.4445 0.722862 0.0731994 0.534196 -0.506716 0.672693 
-0.0191557 0.444846 0.721717 0.0732015 0.534196 -0.506717 0.672692 
-0.0193558 0.445191 0.720572 0.0732035 0.534196 -0.506718 0.672691 
-0.0195558 0.445536 0.719427 0.0732056 0.534196 -0.506718 0.67269 
-0.0197559 0.445881 0.718281 0.0732077 0.534196 -0.506719 0.672689 
-0.019956 0.446227 0.717136 0.0732097 0.534196 -0.50672 0.672688 
-0.0201561 0.446572 0.715991 0.0732118 0.534196 -0.506721 0.672687 
-0.0203561 0.446917 0.714846 0.0732138 0.534196 -0.506722 0.672686 
-0.0205562 0.447262 0.7137 0.0732159 0.534197 -0.506722 0.672686 
-0.0207563 0.447608 0.712555 0.073218 0.534197 -0.506723 0.672685 
-0.0209563 0.447953 0.71141 0.07322 0.534197 -0.506724 0.672684 
-0.0211564 0.448298 0.710265 0.0732221 0.534197 -0.506725 0.672683 
-0.0213564 0.448644 0.70912 0.0732241 0.534197 -0.506725 0.672682 
-0.0215565 0.448989 0.707974 0.0732261 0.534197 -0.506726 0.672681 
-0.0217565 0.449334 0.706829 0.0732282 0.534197 -0.506727 0.67268 
-0.0219565 0.44968 0.705684 0.0732302 0.534198 -0.506728 0.672679 
-0.0221566 0.450025 0.704539 0.0732322 0.534198 -0.506728 0.672678 
-0.0223566 0.450371 0.703393 0.0732343 0.534198 -0.506729 0.672678 
-0.0225566 0.450716 0.702248 0.0732363 0.534198 -0.50673 0.672677 
-0.0227566 0.451061 0.701103 0.0732383 0.534198 -0.506731 0.672676 
-0.0229566 0.451407 0.699958 0.0732403 0.534198 -0.506731 0.672675 
-0.0231567 0.451752 0.698812 0.0732423 0.534198 -0.506732 0.672674 
-0.0233567 0.452098 0.697667 0.0732444 0.534199 -0.506733 0.672673 
-0.0235567 0.452443 0.696522 0.0732464 0.534199 -0.506733 0.672672 
-0.0237567 0.452789 0.695377 0.0732484 0.534199 -0.506734 0.672671 
-0.0239567 0.453134 0.694231 0.0732504 0.534199 -0.506735 0.672671 
-0.0241567 0.45348 0.693086 0.0732523 0.534199 -0.506735 0.67267 
-0.0243567 0.453825 0.691941 0.0732543 0.534199 -0.506736 0.672669 
-0.0245566 0.454171 0.690796 0.0732563 0.5342 -0.506737 0.672668 
-0.0247566 0.454516 0.68965 0.0732583 0.5342 -0.506737 0.672667 
-0.0249566 0.454862 0.688505 0.0732603 0.5342 -0.506738 0.672666 
-0.0251566 0.455207 0.68736 0.0732622 0.5342 -0.506739 0.672665 
-0.0253566 0.455553 0.686215 0.0732642 0.5342 -0.506739 0.672665 
-0.0255565 0.455898 0.685069 0.0732662 0.534201 -0.50674 0.672664 
-0.0257565 0.456244 0.683924 0.0732681 0.534201 -0.506741 0.672663 
-0.0259565 0.456589 0.682779 0.0732701 0.534201 -0.506741 0.672662 
-0.0261564 0.456935 0.681633 0.073272 0.534201 -0.506742 0.672661 
-0.0263564 0.457281 0.680488 0.0732739 0.534201 -0.506743 0.67266 
-0.0265564 0.457626 0.679343 0.0732759 0.534202 -0.506743 0.672659 
-0.0267563 0.457972 0.678198 0.0732778 0.534202 -0.506744 0.672659 
-0.0269563 0.458317 0.677052 0.0732797 0.534202 -0.506744 0.672658 
-0.0271562 0.458663 0.675907 0.0732816 0.534202 -0.506745 0.672657 
-0.0273562 0.459009 0.674762 0.0732836 0.534202 -0.506746 0.672656 
-0.0275561 0.459354 0.673616 0.0732855 0.534203 -0.506746 0.672655 
-0.0277561 0.4597 0.672471 0.0732874 0.534203 -0.506747 0.672655 
-0.027956 0.460046 0.671326 0.0732893 0.534203 -0.506747 0.672654 
-0.028156 0.460392 0.67018 0.0732911 0.534203 -0.506748 0.672653 
-0.0283559 0.460737 0.669035 0.073293 0.534203 -0.506748 0.672652 
-0.0285558 0.461083 0.66789 0.0732949 0.534204 -0.506749 0.672651 
-0.0287558 0.461429 0.666744 0.0732968 0.534204 -0.50675 0.672651 
-0.0289557 0.461774 0.665599 0.0732986 0.534204 -0.50675 0.67265 
-0.0291557 0.46212 0.664454 0.0733005 0.534204 -0.506751 0.672649 
-0.0293556 0.462466 0.663308 0.0733023 0.534204 -0.506751 0.672648 
-0.0295555 0.462812 0.662163 0.0733042 0.534205 -0.506752 0.672647 
-0.0297555 0.463157 0.661018 0.073306 0.534205 -0.506752 0.672647 
-0.0299554 0.463503 0.659872 0.0733078 0.534205 -0.506753 0.672646 
-0.0301553 0.463849 0.658727 0.0733096 0.534205 -0.506753 0.672645 
-0.0303553 0.464195 0.657582 0.0733115 0.534205 -0.506754 0.672644 
-0.0305552 0.464541 0.656436 0.0733133 0.534206 -0.506754 0.672644 
-0.0307551 0.464887 0.655291 0.0733151 0.534206 -0.506755 0.672643 
-0.030955 0.465232 0.654146 0.0733169 0.534206 -0.506755 0.672642 
-0.031155 0.465578 0.653 0.0733186 0.534206 -0.506756 0.672641 
-0.0313549 0.465924 0.651855 0.0733204 0.534207 -0.506756 0.672641 
-0.0315548 0.46627 0.65071 0.0733222 0.534207 -0.506757 0.67264 
-0.0317547 0.466616 0.649564 0.0733239 0.534207 -0.506757 0.672639 
-0.0319546 0.466962 0.648419 0.0733257 0.534207 -0.506758 0.672638 
-0.0321546 0.467308 0.647273 0.0733274 0.534207 -0.506758 0.672638 
-0.0323545 0.467653 0.646128 0.0733292 0.534208 -0.506759 0.672637 
-0.0325544 0.467999 0.644983 0.0733309 0.534208 -0.506759 0.672636 
-0.0327543 0.468345 0.643837 0.0733326 0.534208 -0.50676 0.672636 
