lbr_1_joint lbr_2_joint lbr_3_joint lbr_4_joint lbr_5_joint lbr_6_joint lbr_7_joint 
2.4968 -0.519474 1.90898 -1.31233 1.53353 -2.03936 0.745616 
2.49693 -0.521388 1.90853 -1.31391 1.53646 -2.03959 0.748019 
2.49706 -0.523309 1.90808 -1.31548 1.53941 -2.0398 0.750417 
2.49718 -0.525239 1.90763 -1.31704 1.54236 -2.04 0.75281 
2.4973 -0.527176 1.9072 -1.31859 1.54531 -2.0402 0.755197 
2.49741 -0.529121 1.90676 -1.32012 1.54827 -2.04039 0.75758 
2.49751 -0.531073 1.90633 -1.32165 1.55123 -2.04056 0.759957 
2.4976 -0.533034 1.90591 -1.32317 1.5542 -2.04073 0.76233 
2.49769 -0.535002 1.90549 -1.32468 1.55717 -2.04089 0.764696 
2.49777 -0.536977 1.90508 -1.32617 1.56014 -2.04105 0.767058 
2.49784 -0.538961 1.90467 -1.32766 1.56313 -2.04119 0.769414 
2.49791 -0.540952 1.90426 -1.32914 1.56611 -2.04132 0.771764 
2.49797 -0.54295 1.90386 -1.3306 1.5691 -2.04145 0.774109 
2.49802 -0.544955 1.90347 -1.33206 1.57209 -2.04157 0.776448 
2.49807 -0.546969 1.90308 -1.3335 1.57509 -2.04168 0.778782 
2.49811 -0.548989 1.90269 -1.33494 1.57809 -2.04178 0.78111 
2.49814 -0.551017 1.90231 -1.33636 1.5811 -2.04187 0.783432 
2.49817 -0.553052 1.90194 -1.33778 1.58411 -2.04196 0.785748 
2.4982 -0.555094 1.90157 -1.33918 1.58712 -2.04203 0.788058 
2.49821 -0.557143 1.9012 -1.34058 1.59014 -2.0421 0.790362 
2.49822 -0.559199 1.90084 -1.34196 1.59316 -2.04216 0.79266 
2.49823 -0.561263 1.90048 -1.34333 1.59618 -2.04222 0.794952 
2.49823 -0.563333 1.90013 -1.3447 1.5992 -2.04226 0.797238 
2.49822 -0.565411 1.89978 -1.34605 1.60223 -2.0423 0.799517 
2.49821 -0.567495 1.89944 -1.34739 1.60527 -2.04233 0.801791 
2.49819 -0.569586 1.8991 -1.34873 1.6083 -2.04235 0.804058 
2.49817 -0.571684 1.89876 -1.35005 1.61134 -2.04237 0.806318 
2.49814 -0.573789 1.89843 -1.35137 1.61438 -2.04238 0.808572 
2.4981 -0.5759 1.89811 -1.35267 1.61742 -2.04238 0.81082 
2.49806 -0.578018 1.89778 -1.35396 1.62047 -2.04237 0.813061 
